uid, gpa all, gpa 13s, cs 65
u01,2.863,1.777777778,3
u02,3.505,4,4
u04,3.029,3.5,4
u05,3.679,3.777777778,4
u07,3.474,4,4
u08,3.705,3.333333333,4
u09,3.806,3.777777778,3.666666667
u10,3.667,3.777777778,4
u12,3.245,2.583333333,2.333333333
u14,3.293,3.888888889,3.666666667
u15,2.815,3.333333333,3.666666667
u16,3.373,4,4
u17,3.476,3.333333333,4
u18,3.474,3.333333333,3.333333333
u19,3.947,3.777777778,3.333333333
u22,3.889,3.916666667,4
u24,2.987,3.222222222,3.333333333
u25,2.765,3.333333333,3.666666667
u27,3.719,3.333333333,3
u30,3.93,3.916666667,4
u32,3.826,3.888888889,4
u33,2.815,2.777777778,4
u41,3.652,3.777777778,4
u43,3.79,4,4
u46,3.646,1.111111111,4
u49,3.625,3.777777778,4
u52,2.4,1,0
u54,3.343,3.444444444,4
u57,3.389,2.666666667,4
u59,3.519,3.555555556,3.666666667
